STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
876 	 434 	 -686 	 115.85 	 1.12 	 5.25 	
993 	 231 	 -658 	 109.235 	 -5.67 	 -31.01 	
1039 	 92 	 -602 	 106.365 	 -10.71 	 -67.795 	
1016 	 -66 	 -568 	 105.595 	 -14.595 	 -87.885 	
991 	 -137 	 -599 	 110.215 	 -19.075 	 -85.435 	
1032 	 -235 	 -611 	 116.865 	 -24.22 	 -71.295 	
1052 	 -300 	 -634 	 124.005 	 -28.49 	 -61.075 	
1060 	 -320 	 -650 	 131.425 	 -32.445 	 -57.855 	
1048 	 -319 	 -643 	 138.46 	 -35.49 	 -56.14 	
1010 	 -312 	 -624 	 145.075 	 -38.15 	 -53.375 	
969 	 -279 	 -580 	 151.13 	 -40.74 	 -52.57 	
948 	 -298 	 -539 	 155.61 	 -43.19 	 -58.52 	
930 	 -327 	 -519 	 159.25 	 -44.975 	 -71.61 	
901 	 -345 	 -523 	 162.54 	 -46.165 	 -83.895 	
877 	 -310 	 -535 	 165.76 	 -46.725 	 -86.765 	
874 	 -287 	 -548 	 168.14 	 -46.97 	 -79.135 	
891 	 -300 	 -558 	 169.645 	 -46.69 	 -67.025 	
920 	 -322 	 -548 	 170.59 	 -45.535 	 -57.4 	
932 	 -350 	 -527 	 170.765 	 -43.155 	 -53.2 	
955 	 -368 	 -513 	 170.52 	 -39.97 	 -53.41 	
964 	 -350 	 -492 	 170.625 	 -35.98 	 -55.93 	
929 	 -364 	 -444 	 170.275 	 -31.465 	 -58.52 	
883 	 -391 	 -412 	 170.31 	 -27.265 	 -60.48 	
814 	 -455 	 -396 	 170.415 	 -23.345 	 -62.16 	
775 	 -474 	 -403 	 171.605 	 -20.44 	 -64.75 	
688 	 -499 	 -392 	 172.9 	 -17.57 	 -66.185 	
652 	 -498 	 -425 	 174.615 	 -15.925 	 -65.065 	
638 	 -491 	 -443 	 176.575 	 -14.525 	 -61.74 	
641 	 -495 	 -446 	 178.99 	 -13.265 	 -57.75 	
654 	 -530 	 -437 	 181.65 	 -11.97 	 -54.985 	
