@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_PeakToPeak_on_ACC_X numeric
@attribute F8_PeakToPeak_on_ACC_Y numeric
@attribute F9_PeakToPeak_on_ACC_Z numeric
@attribute F10_PeakToPeak_on_GY_X numeric
@attribute F11_PeakToPeak_on_GY_Y numeric
@attribute F12_PeakToPeak_on_GY_Z numeric
@attribute F13_ZeroCross_on_ACC_X numeric
@attribute F14_ZeroCross_on_ACC_X numeric
@attribute F15_ZeroCross_on_ACC_Y numeric
@attribute F16_ZeroCross_on_ACC_Y numeric
@attribute F17_ZeroCross_on_ACC_Z numeric
@attribute F18_ZeroCross_on_ACC_Z numeric
@attribute F19_ZeroCross_on_GY_X numeric
@attribute F20_ZeroCross_on_GY_Y numeric
@attribute F21_ZeroCross_on_GY_Z numeric
@attribute F22_PositiveZeroCross_on_ACC_X numeric
@attribute F23_PositiveZeroCross_on_ACC_X numeric
@attribute F24_PositiveZeroCross_on_ACC_Y numeric
@attribute F25_PositiveZeroCross_on_ACC_Y numeric
@attribute F26_PositiveZeroCross_on_ACC_Z numeric
@attribute F27_PositiveZeroCross_on_ACC_Z numeric
@attribute F28_PositiveZeroCross_on_GY_X numeric
@attribute F29_PositiveZeroCross_on_GY_Y numeric
@attribute F30_PositiveZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
0.906738, -0.00575638, -0.521973, -0.238159, -0.0769043, 0.0755005, 2.32813, 5.39063, 4.64453, 20.4531, 7.14453, 12.5469, 18, 2, 8, 6, 8, 4, 4, 8, 16, 8, 1, 4, 3, 4, 2, 2, 4, 8, left
0.837402, 0.0662231, -0.604004, 0.0847168, -0.0930176, -0.2146, 5.09766, 5.58594, 5.16797, 20.6563, 6.57031, 12.7344, 12, 8, 10, 6, 8, 8, 4, 10, 12, 6, 4, 4, 3, 4, 4, 2, 6, 6, left
0.891113, 0.0350037, -0.529297, -0.262695, -0.00997925, 0.128418, 3.62305, 4.80078, 4.35938, 21.7813, 6.54297, 10.0859, 12, 6, 12, 6, 8, 8, 4, 8, 12, 6, 3, 6, 3, 4, 4, 2, 4, 6, left
0.896973, 0.04422, -0.556641, 0.403564, -0.220337, -0.165039, 3.65039, 5.55078, 5.73438, 23.4375, 7.57422, 9.30469, 16, 8, 8, 6, 8, 6, 4, 8, 8, 8, 4, 4, 3, 4, 3, 2, 4, 4, left
0.847656, -0.0450134, -0.541016, 0.0514221, 0.0662231, -0.202759, 2.76563, 4.11328, 3.50391, 19.4063, 7.0625, 12.2188, 14, 8, 8, 4, 8, 4, 4, 8, 6, 8, 4, 4, 2, 4, 2, 2, 4, 4, left
0.881836, -0.0350952, -0.53125, -0.241211, 0.0932007, -0.0530701, 2.26367, 4.64453, 4.24219, 20.4531, 4.85938, 9.125, 14, 6, 6, 6, 8, 4, 4, 8, 10, 6, 3, 4, 3, 4, 2, 2, 4, 4, left
0.904297, 0.0455933, -0.632813, 0.413574, -0.296875, 0.0692139, 0.949707, 5.41797, 3.79297, 22.2031, 4.65625, 9.24219, 14, 0, 10, 8, 8, 4, 4, 8, 8, 8, 0, 4, 4, 4, 2, 2, 4, 4, left
0.884277, 0.0297852, -0.599609, -0.209351, -0.238525, -0.208374, 5.66406, 5.08594, 3.56641, 20.7188, 8.35156, 12.0547, 16, 10, 8, 8, 8, 4, 4, 6, 16, 8, 5, 4, 4, 4, 2, 2, 4, 8, left
0.878418, 0.0439758, -0.637695, 0.48999, -0.519043, 0.0712891, 3.5625, 3.73242, 3.48242, 19.7656, 8.25, 12.4141, 14, 6, 8, 6, 8, 4, 4, 14, 14, 6, 3, 4, 3, 4, 2, 2, 6, 6, left
0.928223, 0.0321045, -0.580566, 0.234497, -0.132446, -0.0241241, 3.57422, 6.37109, 5.05078, 22.4219, 7.48828, 11.2734, 12, 10, 8, 8, 8, 6, 4, 4, 12, 6, 5, 4, 4, 4, 3, 2, 2, 6, left
0.935547, -0.00943756, -0.580078, -0.0283966, -0.260498, 0.0375061, 1.44141, 4.49609, 3.12109, 19.0781, 5.98828, 9.74219, 12, 0, 8, 6, 8, 4, 4, 6, 8, 6, 0, 4, 3, 4, 2, 2, 4, 4, left
0.973633, -0.0327148, -0.51709, 0.142334, 0.121826, 0.0435486, 1.62891, 5.35547, 3.56836, 21.2656, 3.35742, 14.1563, 16, 0, 8, 6, 8, 6, 4, 12, 8, 8, 0, 4, 3, 4, 3, 2, 6, 4, left
-0.0797119, 0.0494995, -0.774414, 0.26001, -0.208374, -0.0931396, 4.15234, 5.11328, 8.86719, 23.8281, 9.85938, 6.49219, 16, 4, 8, 7, 8, 6, 4, 8, 26, 8, 2, 4, 4, 4, 3, 2, 4, 14, up
-0.14856, 0.076355, -0.788574, -0.133423, -0.0358887, 0.0782471, 4.6875, 4.78906, 8.51563, 23.2813, 10.0156, 5.54297, 8, 4, 8, 10, 6, 6, 4, 8, 20, 4, 2, 4, 5, 2, 3, 2, 4, 10, up
-0.053894, 0.244385, -0.807129, -0.126465, 0.166382, 0.365967, 3.43164, 4.89453, 9.52344, 23, 14.4609, 6.47266, 12, 6, 8, 12, 8, 8, 4, 8, 18, 6, 3, 4, 6, 4, 4, 2, 4, 8, up
-0.216553, 0.298096, -0.782715, 0.221558, -0.338867, -0.381836, 2.45898, 4.24609, 7.39453, 23.4844, 7.29297, 6.10938, 12, 4, 8, 10, 10, 6, 4, 8, 8, 6, 2, 4, 5, 6, 3, 2, 4, 4, up
-0.223877, 0.022522, -0.802734, -0.149292, -0.0827026, 0.0608521, 2.82031, 7.125, 8.78125, 22.8281, 7.25781, 6.07031, 16, 8, 12, 8, 6, 8, 8, 8, 10, 8, 4, 6, 4, 2, 4, 4, 4, 4, up
-0.186035, 0.0856934, -0.709961, -0.150513, 0.100952, 0.105164, 1.69629, 4.24609, 4.875, 22.2344, 7.53125, 7.05859, 18, 2, 12, 8, 8, 6, 4, 8, 16, 10, 1, 6, 4, 4, 3, 2, 4, 8, up
-0.14917, 0.158081, -0.801758, -0.210938, 0.197998, 0.126831, 3.96875, 4.98438, 8.65625, 21.1875, 10.4063, 6.62891, 16, 6, 8, 8, 8, 8, 4, 8, 12, 8, 3, 4, 4, 4, 4, 2, 4, 6, up
-0.243652, 0.180054, -0.815918, 0.0144501, -0.0291443, -0.0412598, 4.60547, 5.73438, 7.25, 22.2813, 11.1406, 10.1172, 14, 8, 8, 8, 8, 6, 4, 8, 20, 6, 4, 4, 4, 4, 3, 2, 4, 10, up
