@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_PositiveZeroCross_on_ACC_X numeric
@attribute F8_PositiveZeroCross_on_ACC_X numeric
@attribute F9_PositiveZeroCross_on_ACC_Y numeric
@attribute F10_PositiveZeroCross_on_ACC_Y numeric
@attribute F11_PositiveZeroCross_on_ACC_Z numeric
@attribute F12_PositiveZeroCross_on_ACC_Z numeric
@attribute F13_PositiveZeroCross_on_GY_X numeric
@attribute F14_PositiveZeroCross_on_GY_Y numeric
@attribute F15_PositiveZeroCross_on_GY_Z numeric
@attribute F16_NegativeZeroCross_on_ACC_X numeric
@attribute F17_NegativeZeroCross_on_ACC_X numeric
@attribute F18_NegativeZeroCross_on_ACC_Y numeric
@attribute F19_NegativeZeroCross_on_ACC_Y numeric
@attribute F20_NegativeZeroCross_on_ACC_Z numeric
@attribute F21_NegativeZeroCross_on_ACC_Z numeric
@attribute F22_NegativeZeroCross_on_GY_X numeric
@attribute F23_NegativeZeroCross_on_GY_Y numeric
@attribute F24_NegativeZeroCross_on_GY_Z numeric
@attribute class {DOWN, UP, STAND, LEFT}

@data
-0.649414, 0.701172, -0.205811, -0.0795288, 0.0980835, -1.51172, 4, 0, 6, 0, 0, 0, 0, 2, 0, 6, 0, 6, 0, 0, 0, 2, 0, 0, STAND
-0.980957, -0.125244, -0.156616, -0.221436, -0.0938721, -0.78125, 0, 0, 0, 2, 6, 0, 2, 0, 2, 0, 0, 0, 2, 6, 0, 0, 0, 0, STAND
-0.979004, -0.0891113, -0.148926, 0.012085, -0.0483704, 0.650879, 20, 0, 4, 0, 8, 0, 0, 4, 0, 18, 0, 2, 0, 8, 0, 0, 4, 0, STAND
-0.175049, 0.740234, -0.248779, 0.256104, -0.519531, 3.08789, 2, 1, 0, 3, 4, 0, 0, 0, 0, 2, 0, 0, 3, 6, 0, 2, 2, 2, STAND
0.09021, 0.82959, -0.516602, -0.0706177, -1.95703, -0.460938, 0, 0, 4, 0, 0, 0, 2, 0, 0, 2, 0, 4, 0, 0, 0, 2, 0, 0, STAND
-0.555664, 0.80957, -0.122864, 0.265137, -1.65527, -0.389893, 0, 0, 14, 0, 0, 0, 0, 2, 6, 0, 0, 16, 0, 0, 0, 0, 0, 6, STAND
-0.806641, 0.526855, 0.209351, -0.117188, -0.111267, -0.654297, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, STAND
-0.918457, 0.300049, 0.123291, 0.0964355, 0.606934, -0.231445, 4, 0, 0, 0, 4, 0, 0, 2, 2, 4, 0, 0, 0, 6, 0, 2, 0, 2, STAND
-0.549805, 0.224731, -0.773438, 0.150879, 1.91602, 0.193115, 2, 0, 4, 0, 0, 1, 2, 0, 2, 0, 0, 4, 0, 0, 2, 0, 2, 2, STAND
-0.0138245, -0.0756836, -0.985352, 0.467285, 0.0820923, -0.312988, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, STAND
0.0673828, -0.312744, -0.911621, 0.356445, 0.0105362, -0.205322, 8, 0, 0, 0, 2, 0, 2, 0, 2, 8, 0, 0, 0, 4, 0, 2, 2, 2, STAND
0.112915, -0.486816, -0.888672, 0.220825, -0.499512, -0.776367, 12, 0, 2, 0, 10, 0, 2, 0, 0, 12, 0, 2, 0, 8, 0, 2, 0, 0, STAND
1.19141, 0.248169, -0.288574, -0.43457, 0.507813, 0.762695, 0, 6, 4, 3, 4, 3, 4, 4, 4, 0, 5, 6, 3, 4, 3, 2, 4, 4, LEFT
1.02246, 0.100403, -0.406494, 0.276855, 0.382324, -0.679199, 4, 2, 4, 4, 4, 3, 4, 4, 6, 4, 2, 4, 4, 4, 3, 4, 4, 6, LEFT
0.906738, 0.0801392, -0.432373, -0.0333862, -0.0375061, -0.251221, 6, 4, 4, 4, 8, 3, 2, 6, 6, 8, 4, 4, 4, 8, 3, 2, 4, 4, LEFT
