@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_ZeroCross_on_ACC_X numeric
@attribute F8_ZeroCross_on_ACC_Y numeric
@attribute F9_ZeroCross_on_ACC_Z numeric
@attribute F10_PositiveZeroCross_on_ACC_X numeric
@attribute F11_PositiveZeroCross_on_ACC_X numeric
@attribute F12_PositiveZeroCross_on_ACC_Y numeric
@attribute F13_PositiveZeroCross_on_ACC_Y numeric
@attribute F14_PositiveZeroCross_on_ACC_Z numeric
@attribute F15_PositiveZeroCross_on_ACC_Z numeric
@attribute F16_PositiveZeroCross_on_GY_X numeric
@attribute F17_PositiveZeroCross_on_GY_Y numeric
@attribute F18_PositiveZeroCross_on_GY_Z numeric
@attribute F19_NegativeZeroCross_on_ACC_X numeric
@attribute F20_NegativeZeroCross_on_ACC_X numeric
@attribute F21_NegativeZeroCross_on_ACC_Y numeric
@attribute F22_NegativeZeroCross_on_ACC_Y numeric
@attribute F23_NegativeZeroCross_on_ACC_Z numeric
@attribute F24_NegativeZeroCross_on_ACC_Z numeric
@attribute F25_NegativeZeroCross_on_GY_X numeric
@attribute F26_NegativeZeroCross_on_GY_Y numeric
@attribute F27_NegativeZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
0.912109, 0.106689, -0.539063, 0.347412, 0.0755615, -0.299072, 6, 8, 4, 8, 3, 4, 4, 4, 2, 2, 4, 4, 8, 3, 6, 4, 4, 2, 2, 6, 4, left
0.906738, -0.00575638, -0.521973, -0.238159, -0.0769043, 0.0755005, 2, 6, 4, 8, 1, 4, 3, 4, 2, 2, 4, 8, 10, 1, 4, 3, 4, 2, 2, 4, 8, left
0.837402, 0.0662231, -0.604004, 0.0847168, -0.0930176, -0.2146, 8, 6, 8, 6, 4, 4, 3, 4, 4, 2, 6, 6, 6, 4, 6, 3, 4, 4, 2, 4, 6, left
0.891113, 0.0350037, -0.529297, -0.262695, -0.00997925, 0.128418, 6, 6, 8, 6, 3, 6, 3, 4, 4, 2, 4, 6, 6, 3, 6, 3, 4, 4, 2, 4, 6, left
0.896973, 0.04422, -0.556641, 0.403564, -0.220337, -0.165039, 8, 6, 6, 8, 4, 4, 3, 4, 3, 2, 4, 4, 8, 4, 4, 3, 4, 3, 2, 4, 4, left
0.847656, -0.0450134, -0.541016, 0.0514221, 0.0662231, -0.202759, 8, 4, 4, 8, 4, 4, 2, 4, 2, 2, 4, 4, 6, 4, 4, 2, 4, 2, 2, 4, 2, left
0.881836, -0.0350952, -0.53125, -0.241211, 0.0932007, -0.0530701, 6, 6, 4, 6, 3, 4, 3, 4, 2, 2, 4, 4, 8, 3, 2, 3, 4, 2, 2, 4, 6, left
0.904297, 0.0455933, -0.632813, 0.413574, -0.296875, 0.0692139, 0, 8, 4, 8, 0, 4, 4, 4, 2, 2, 4, 4, 6, 0, 6, 4, 4, 2, 2, 4, 4, left
0.884277, 0.0297852, -0.599609, -0.209351, -0.238525, -0.208374, 10, 8, 4, 8, 5, 4, 4, 4, 2, 2, 4, 8, 8, 5, 4, 4, 4, 2, 2, 2, 8, left
0.878418, 0.0439758, -0.637695, 0.48999, -0.519043, 0.0712891, 6, 6, 4, 6, 3, 4, 3, 4, 2, 2, 6, 6, 8, 3, 4, 3, 4, 2, 2, 8, 8, left
