@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_VAR_on_ACC_X numeric
@attribute F8_VAR_on_ACC_Y numeric
@attribute F9_VAR_on_ACC_Z numeric
@attribute F10_VAR_on_GY_X numeric
@attribute F11_VAR_on_GY_Y numeric
@attribute F12_VAR_on_GY_Z numeric
@attribute F13_PositiveZeroCross_on_ACC_X numeric
@attribute F14_PositiveZeroCross_on_ACC_Y numeric
@attribute F15_PositiveZeroCross_on_ACC_Z numeric
@attribute F16_PositiveZeroCross_on_GY_X numeric
@attribute F17_PositiveZeroCross_on_GY_Y numeric
@attribute F18_PositiveZeroCross_on_GY_Z numeric
@attribute F19_NegativeZeroCross_on_ACC_X numeric
@attribute F20_NegativeZeroCross_on_ACC_Y numeric
@attribute F21_NegativeZeroCross_on_ACC_Z numeric
@attribute F22_NegativeZeroCross_on_GY_X numeric
@attribute F23_NegativeZeroCross_on_GY_Y numeric
@attribute F24_NegativeZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
0.772461, 0.113525, 0.719727, -1.74805, -0.53125, -0.661621, 1.18066, 2.47266, 2.21289, 43.9375, 6.03906, 24.6094, 0, 2, 2, 2, 2, 0, 2, 0, 0, 0, 2, 2, left
0.421143, 0.503418, -0.524902, 1.69336, 2.57617, 0.536133, 0.0926514, 0.0322266, 0.157471, 0.320313, 1.24609, 0.17627, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, left
0.79541, 0.169922, 0.2771, -3.90625, -0.586426, -0.753418, 1.21875, 2.34961, 4.05469, 36.125, 7.57031, 11.4688, 0, 2, 2, 2, 2, 0, 2, 4, 0, 0, 2, 2, left
0.582031, 0.574707, -0.279297, 2.86523, 1.16016, 0.520508, 0.0622559, 0.0185547, 0.0200195, 1.09375, 0.30957, 0.11792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, left
0.848145, 0.103271, -1, -3.02539, -0.577637, 1.55371, 0.209473, 1.3457, 0.677734, 32, 10.2031, 3.69531, 4, 2, 2, 0, 2, 2, 4, 2, 0, 0, 2, 2, left
0.469238, 0.639648, 0.787109, 3.1582, 1.12891, -2.08789, 0.227783, 0.618164, 1.27637, 12.0703, 0.415039, 1.67969, 0, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, left
0.553711, 0.256348, -1.34766, -0.422607, 0.302246, 2.20117, 0.163574, 0.205811, 0.691406, 31.7344, 10.2031, 6.20313, 4, 2, 0, 0, 0, 0, 4, 2, 0, 2, 2, 0, left
0.90332, -0.0262146, 0.63623, -0.958008, 1.04785, -0.0634766, 0.305176, 2.95898, 1.33887, 35.8438, 2.33203, 12.3203, 4, 2, 2, 2, 4, 0, 2, 0, 0, 0, 2, 2, left
0.840332, 0.199585, -0.656738, 2.46289, 0.710449, 0.696289, 0.0883789, 0.0673218, 0.27124, 2.86328, 2.74023, 0.0737305, 2, 2, 0, 0, 2, 0, 0, 2, 0, 2, 4, 0, left
0.923828, -0.227295, 0.405762, -5.07422, -0.112183, -0.354492, 0.368164, 1.9834, 3.97266, 45.25, 3.24414, 3.36133, 0, 2, 2, 2, 4, 2, 2, 0, 0, 0, 2, 2, left
