STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
1066 	 548 	 -953 	 220.36 	 -22.96 	 87.255 	
1008 	 522 	 -866 	 230.93 	 -9.625 	 95.935 	
973 	 467 	 -800 	 239.785 	 1.82 	 100.94 	
946 	 462 	 -743 	 247.94 	 11.585 	 100.905 	
914 	 513 	 -657 	 254.17 	 20.09 	 95.585 	
890 	 504 	 -611 	 257.495 	 27.125 	 85.925 	
870 	 438 	 -620 	 259.315 	 31.815 	 73.605 	
913 	 437 	 -625 	 260.715 	 34.51 	 60.83 	
963 	 514 	 -631 	 260.75 	 36.82 	 51.555 	
926 	 569 	 -621 	 258.475 	 39.375 	 48.825 	
862 	 579 	 -613 	 254.8 	 40.075 	 52.15 	
869 	 580 	 -620 	 250.635 	 38.465 	 59.605 	
898 	 594 	 -622 	 245.7 	 36.365 	 68.425 	
876 	 567 	 -599 	 238.945 	 34.475 	 75.95 	
835 	 491 	 -558 	 231.14 	 31.815 	 80.045 	
838 	 404 	 -543 	 223.615 	 27.755 	 79.38 	
860 	 346 	 -534 	 215.95 	 23.73 	 73.885 	
853 	 306 	 -499 	 207.865 	 20.545 	 64.68 	
806 	 244 	 -457 	 199.465 	 17.325 	 53.34 	
769 	 202 	 -431 	 191.66 	 13.23 	 41.055 	
756 	 199 	 -412 	 184.1 	 8.995 	 28.875 	
709 	 228 	 -364 	 176.61 	 5.285 	 18.2 	
645 	 246 	 -302 	 168.525 	 1.435 	 9.87 	
614 	 188 	 -271 	 160.265 	 -3.15 	 4.095 	
618 	 123 	 -287 	 153.3 	 -7.805 	 -0.14 	
662 	 89 	 -309 	 146.79 	 -12.075 	 -3.885 	
726 	 52 	 -316 	 140.245 	 -16.1 	 -8.085 	
783 	 1 	 -323 	 133.245 	 -19.46 	 -13.44 	
825 	 -58 	 -340 	 126.525 	 -22.26 	 -20.265 	
854 	 -96 	 -355 	 120.295 	 -24.185 	 -28.21 	
865 	 -93 	 -368 	 114.345 	 -25.585 	 -36.54 	
869 	 -108 	 -371 	 107.835 	 -26.775 	 -44.73 	
890 	 -129 	 -377 	 101.465 	 -27.755 	 -52.29 	
893 	 -136 	 -388 	 95.27 	 -28.245 	 -58.975 	
875 	 -129 	 -404 	 89.215 	 -28.35 	 -64.645 	
853 	 -132 	 -422 	 82.915 	 -28.385 	 -69.265 	
854 	 -129 	 -443 	 76.965 	 -28.525 	 -73.08 	
864 	 -119 	 -466 	 71.26 	 -28.315 	 -76.51 	
851 	 -200 	 -533 	 65.38 	 -27.475 	 -79.87 	
846 	 -73 	 -431 	 60.69 	 -26.25 	 -84.805 	
912 	 -59 	 -449 	 54.215 	 -26.25 	 -90.02 	
926 	 -88 	 -461 	 48.3 	 -24.78 	 -95.48 	
884 	 -102 	 -463 	 43.47 	 -22.19 	 -99.855 	
813 	 -29 	 -465 	 38.92 	 -20.58 	 -103.915 	
822 	 -34 	 -473 	 33.46 	 -19.845 	 -105.91 	
850 	 -69 	 -479 	 28.595 	 -18.375 	 -107.03 	
829 	 -58 	 -482 	 24.885 	 -15.925 	 -107.31 	
788 	 -18 	 -473 	 21.07 	 -14.14 	 -107.065 	
812 	 6 	 -494 	 16.625 	 -13.195 	 -106.435 	
849 	 12 	 -530 	 12.775 	 -11.62 	 -105.525 	
826 	 29 	 -543 	 9.765 	 -9.17 	 -104.475 	
761 	 45 	 -532 	 6.51 	 -6.93 	 -103.18 	
703 	 14 	 -514 	 2.975 	 -5.46 	 -101.15 	
636 	 -38 	 -501 	 0.245 	 -4.235 	 -98.49 	
557 	 -58 	 -480 	 -1.33 	 -2.975 	 -95.095 	
489 	 -84 	 -444 	 -2.87 	 -2.17 	 -90.86 	
423 	 -126 	 -396 	 -4.375 	 -1.645 	 -85.89 	
383 	 -160 	 -336 	 -4.865 	 -1.365 	 -80.465 	
338 	 -193 	 -288 	 -5.11 	 -0.91 	 -75.11 	
324 	 -232 	 -259 	 -5.355 	 -0.56 	 -70.595 	
396 	 -297 	 -226 	 -5.635 	 -0.245 	 -67.165 	
485 	 -405 	 -155 	 -5.95 	 1.12 	 -64.225 	
665 	 -318 	 -33 	 -6.615 	 2.73 	 -62.09 	
936 	 -303 	 42 	 -10.57 	 5.32 	 -57.05 	
1118 	 -401 	 -11 	 -16.485 	 10.29 	 -47.88 	
1243 	 -254 	 -88 	 -22.365 	 16.52 	 -34.51 	
1463 	 -133 	 -153 	 -32.27 	 22.68 	 -14.175 	
1595 	 -142 	 -233 	 -46.34 	 30.38 	 12.495 	
1701 	 35 	 -288 	 -62.265 	 38.36 	 38.465 	
1927 	 262 	 -263 	 -81.445 	 45.99 	 59.675 	
2115 	 278 	 -137 	 -106.05 	 55.475 	 71.505 	
2189 	 101 	 -53 	 -134.365 	 66.36 	 73.43 	
2301 	 251 	 -36 	 -163.205 	 76.755 	 66.01 	
2215 	 586 	 -84 	 -194.95 	 86.1 	 59.605 	
1973 	 720 	 -88 	 -229.25 	 91.56 	 58.415 	
1781 	 781 	 -57 	 -262.85 	 91.63 	 57.715 	
1670 	 765 	 -33 	 -296.205 	 90.09 	 54.425 	
1348 	 687 	 2 	 -329.84 	 88.655 	 44.205 	
782 	 589 	 85 	 -360.325 	 81.55 	 28.805 	
410 	 637 	 93 	 -385.14 	 64.575 	 11.725 	
119 	 651 	 102 	 -405.545 	 43.785 	 -3.64 	
-255 	 527 	 197 	 -421.365 	 21.315 	 -18.13 	
-452 	 347 	 224 	 -431.55 	 -6.3 	 -36.505 	
-509 	 254 	 211 	 -435.33 	 -36.75 	 -59.605 	
-511 	 76 	 180 	 -432.67 	 -67.34 	 -80.57 	
-395 	 1 	 70 	 -421.365 	 -98.21 	 -98.63 	
-170 	 -37 	 -37 	 -403.095 	 -127.715 	 -110.775 	
127 	 -74 	 -143 	 -380.73 	 -154.21 	 -118.755 	
440 	 -115 	 -253 	 -354.41 	 -176.05 	 -125.09 	
725 	 -162 	 -369 	 -324.205 	 -192.22 	 -131.18 	
965 	 -172 	 -485 	 -290.36 	 -202.475 	 -135.415 	
1114 	 -186 	 -592 	 -254.31 	 -207.445 	 -133.665 	
1269 	 -163 	 -713 	 -216.265 	 -208.39 	 -124.215 	
1423 	 -117 	 -820 	 -176.96 	 -203.805 	 -105.07 	
1476 	 -21 	 -855 	 -138.32 	 -192.99 	 -79.275 	
1482 	 37 	 -874 	 -102.515 	 -178.71 	 -51.555 	
1542 	 -5 	 -904 	 -69.125 	 -162.89 	 -26.53 	
1649 	 -33 	 -939 	 -35.84 	 -144.795 	 -7.175 	
1673 	 61 	 -949 	 -3.64 	 -123.27 	 7.105 	
1577 	 160 	 -925 	 24.99 	 -100.765 	 19.81 	
1513 	 193 	 -905 	 50.855 	 -80.115 	 33.53 	
1483 	 213 	 -885 	 75.425 	 -59.675 	 48.58 	
1387 	 260 	 -860 	 98.91 	 -39.165 	 65.485 	
1244 	 318 	 -790 	 120.19 	 -20.895 	 82.25 	
1193 	 380 	 -728 	 138.355 	 -5.705 	 96.11 	
1134 	 356 	 -708 	 153.895 	 8.89 	 106.47 	
1006 	 342 	 -675 	 168.28 	 21.945 	 111.615 	
926 	 400 	 -626 	 180.95 	 31.395 	 111.44 	
931 	 416 	 -635 	 190.365 	 38.71 	 106.89 	
909 	 362 	 -641 	 197.785 	 45.675 	 99.33 	
862 	 358 	 -607 	 204.645 	 50.715 	 89.495 	
849 	 432 	 -590 	 209.615 	 53.55 	 79.625 	
817 	 484 	 -579 	 211.575 	 55.93 	 72.31 	
749 	 489 	 -534 	 211.75 	 57.575 	 68.67 	
712 	 517 	 -508 	 211.365 	 56.875 	 67.865 	
717 	 558 	 -511 	 209.23 	 54.915 	 68.95 	
730 	 528 	 -495 	 205.17 	 52.71 	 70.49 	
732 	 477 	 -475 	 200.62 	 49.98 	 70.98 	
763 	 476 	 -464 	 195.51 	 46.34 	 69.58 	
788 	 478 	 -454 	 188.755 	 42.42 	 67.375 	
789 	 425 	 -445 	 181.37 	 38.5 	 65.52 	
772 	 410 	 -434 	 174.65 	 34.51 	 64.575 	
753 	 427 	 -421 	 167.545 	 30.345 	 64.995 	
752 	 401 	 -410 	 159.53 	 25.795 	 65.975 	
756 	 368 	 -386 	 151.27 	 21.175 	 65.485 	
775 	 344 	 -364 	 143.01 	 17.08 	 62.055 	
774 	 279 	 -373 	 134.75 	 13.3 	 54.67 	
780 	 214 	 -390 	 126.595 	 9.59 	 42.945 	
815 	 181 	 -385 	 118.79 	 6.125 	 28.07 	
831 	 167 	 -371 	 111.02 	 3.5 	 12.285 	
798 	 147 	 -368 	 103.145 	 1.61 	 -1.82 	
761 	 142 	 -374 	 95.69 	 -0.665 	 -12.6 	
761 	 155 	 -384 	 88.795 	 -3.5 	 -19.635 	
776 	 161 	 -395 	 82.075 	 -5.95 	 -23.38 	
779 	 139 	 -401 	 75.425 	 -7.98 	 -25.41 	
790 	 108 	 -405 	 68.985 	 -10.115 	 -27.23 	
826 	 71 	 -414 	 62.895 	 -12.39 	 -29.645 	
856 	 32 	 -434 	 57.19 	 -14.0 	 -32.725 	
847 	 0 	 -447 	 52.185 	 -15.015 	 -36.19 	
829 	 -13 	 -456 	 47.565 	 -16.17 	 -39.865 	
838 	 -28 	 -470 	 43.12 	 -17.78 	 -43.26 	
865 	 -57 	 -491 	 39.2 	 -18.97 	 -46.41 	
834 	 -68 	 -488 	 36.225 	 -19.355 	 -49.245 	
788 	 -53 	 -474 	 33.425 	 -19.985 	 -51.765 	
781 	 -63 	 -471 	 30.59 	 -21.42 	 -53.655 	
786 	 -78 	 -481 	 28.28 	 -22.54 	 -55.37 	
763 	 -70 	 -497 	 26.775 	 -23.03 	 -56.805 	
733 	 -55 	 -511 	 25.62 	 -23.87 	 -58.135 	
720 	 -53 	 -523 	 24.57 	 -24.885 	 -59.57 	
713 	 -63 	 -537 	 23.905 	 -25.69 	 -60.97 	
680 	 -65 	 -556 	 23.66 	 -26.145 	 -62.685 	
630 	 -59 	 -575 	 23.625 	 -26.6 	 -65.065 	
569 	 -76 	 -627 	 23.765 	 -27.685 	 -68.495 	
502 	 -115 	 -662 	 24.22 	 -28.385 	 -73.85 	
459 	 -93 	 -640 	 26.285 	 -29.26 	 -80.115 	
396 	 -85 	 -599 	 28.455 	 -30.59 	 -87.535 	
340 	 -68 	 -581 	 29.785 	 -31.605 	 -95.41 	
226 	 -145 	 -545 	 31.57 	 -32.165 	 -102.725 	
142 	 -179 	 -517 	 35.105 	 -34.44 	 -111.405 	
92 	 -162 	 -498 	 38.815 	 -36.96 	 -120.575 	
38 	 -156 	 -459 	 42.245 	 -38.64 	 -128.625 	
-53 	 -188 	 -376 	 46.13 	 -40.11 	 -135.94 	
-154 	 -223 	 -246 	 51.52 	 -42.14 	 -141.05 	
-264 	 -221 	 -121 	 57.085 	 -44.765 	 -144.165 	
-400 	 -250 	 -6 	 61.775 	 -47.075 	 -144.445 	
-463 	 -361 	 73 	 65.52 	 -49.735 	 -143.045 	
-279 	 -502 	 89 	 69.09 	 -54.04 	 -141.96 	
