STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-727 	 -229 	 -73 	37.59 	 -57.015 	 -39.515 	
-636 	 -131 	 -157 	32.375 	 -72.73 	 -47.705 	
-618 	 -36 	 -196 	28.07 	 -81.48 	 -43.19 	
-574 	 25 	 -261 	24.22 	 -86.485 	 -31.5 	
-560 	 85 	 -325 	20.37 	 -87.115 	 -18.41 	
-537 	 98 	 -363 	16.73 	 -83.51 	 -5.775 	
-467 	 38 	 -350 	13.195 	 -76.895 	 4.55 	
-354 	 -16 	 -349 	10.465 	 -67.69 	 10.045 	
-354 	 -72 	 -340 	8.89 	 -55.16 	 12.6 	
-443 	 -94 	 -332 	8.785 	 -41.51 	 16.1 	
-594 	 -105 	 -319 	9.415 	 -28.7 	 23.485 	
-724 	 -123 	 -354 	10.08 	 -18.515 	 33.215 	
-831 	 -139 	 -390 	10.605 	 -10.08 	 39.375 	
-914 	 -144 	 -406 	10.535 	 -3.465 	 37.8 	
-949 	 -167 	 -388 	9.625 	 0.875 	 31.71 	
-967 	 -191 	 -381 	8.47 	 3.955 	 26.495 	
-964 	 -248 	 -373 	7.595 	 6.3 	 23.66 	
-970 	 -258 	 -354 	6.685 	 8.225 	 18.795 	
-965 	 -255 	 -379 	4.83 	 8.925 	 12.32 	
-1014 	 -174 	 -399 	3.92 	 9.695 	 9.275 	
-1047 	 -154 	 -415 	1.645 	 9.415 	 12.985 	
-1073 	 -154 	 -427 	-0.84 	 8.365 	 19.18 	
-1087 	 -165 	 -430 	-3.535 	 6.93 	 23.765 	
-1085 	 -212 	 -427 	-6.405 	 5.145 	 25.62 	
-1065 	 -224 	 -434 	-8.61 	 3.36 	 24.255 	
-1049 	 -239 	 -424 	-10.64 	 2.24 	 21.14 	
-1013 	 -230 	 -427 	-12.005 	 1.19 	 17.115 	
-984 	 -232 	 -422 	-12.635 	 1.225 	 13.93 	
-952 	 -235 	 -411 	-12.6 	 1.715 	 11.165 	
-934 	 -249 	 -406 	-12.11 	 2.555 	 8.05 	
-951 	 -229 	 -398 	-10.605 	 3.885 	 5.6 	
-979 	 -215 	 -386 	-8.96 	 5.04 	 6.44 	
-987 	 -193 	 -391 	-6.965 	 5.425 	 9.345 	
-1004 	 -181 	 -397 	-5.495 	 5.6 	 12.005 	
-1010 	 -173 	 -415 	-4.235 	 5.32 	 12.635 	
-1014 	 -157 	 -422 	-3.395 	 4.725 	 10.71 	
-1017 	 -161 	 -425 	-2.87 	 4.095 	 7.21 	
-1016 	 -160 	 -412 	-2.31 	 3.325 	 3.15 	
-984 	 -166 	 -415 	-1.68 	 2.24 	 -0.175 	
-983 	 -144 	 -410 	-0.455 	 1.925 	 -2.31 	
-968 	 -147 	 -409 	0.875 	 1.575 	 -2.275 	
-972 	 -128 	 -402 	2.555 	 1.75 	 -1.12 	
-965 	 -141 	 -392 	4.165 	 1.75 	 1.015 	
-956 	 -128 	 -396 	5.915 	 1.96 	 2.8 	
-952 	 -126 	 -397 	7.385 	 2.415 	 3.99 	
-940 	 -106 	 -407 	8.75 	 2.765 	 3.885 	
-932 	 -102 	 -408 	9.73 	 3.465 	 3.29 	
-913 	 -124 	 -400 	10.57 	 4.305 	 2.345 	
-887 	 -151 	 -386 	11.41 	 5.11 	 0.42 	
-887 	 -157 	 -364 	12.39 	 6.125 	 -2.52 	
-879 	 -155 	 -360 	13.335 	 6.755 	 -5.39 	
-889 	 -134 	 -361 	14.35 	 7.175 	 -6.055 	
-895 	 -115 	 -368 	15.155 	 7.14 	 -3.325 	
-913 	 -92 	 -364 	15.68 	 6.895 	 2.135 	
-920 	 -92 	 -377 	15.89 	 5.81 	 9.135 	
-931 	 -97 	 -389 	15.785 	 4.9 	 14.385 	
-918 	 -129 	 -394 	15.19 	 3.78 	 15.47 	
