STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-554 	 -1122 	 -3364 	 -544.67 	 -344.575 	 140.98 	
-1483 	 -460 	 -2763 	 -658.315 	 -348.355 	 151.655 	
-2551 	 239 	 -1892 	 -762.895 	 -352.555 	 172.97 	
-2673 	 871 	 -1265 	 -859.635 	 -364.07 	 205.065 	
-2441 	 1190 	 -429 	 -948.78 	 -369.495 	 229.81 	
-2501 	 1582 	 302 	 -1020.95 	 -358.47 	 243.88 	
-2516 	 1853 	 1030 	 -1075.34 	 -321.65 	 262.71 	
-1226 	 1184 	 2331 	 -1106.11 	 -244.335 	 298.025 	
762 	 -968 	 3843 	 -1092.91 	 -115.85 	 329.595 	
1643 	 -2336 	 4045 	 -1034.43 	 43.925 	 319.97 	
626 	 -2596 	 3986 	 -961.94 	 187.25 	 274.785 	
-860 	 -3148 	 5490 	 -880.81 	 255.36 	 238.105 	
-1505 	 -3381 	 6900 	 -757.015 	 234.43 	 220.15 	
-843 	 -2975 	 6896 	 -604.45 	 142.24 	 208.25 	
-295 	 -2280 	 5928 	 -455.805 	 66.64 	 191.66 	
-631 	 -2013 	 6906 	 -321.195 	 12.635 	 173.495 	
-184 	 -1825 	 7454 	 -157.605 	 -28.63 	 165.305 	
205 	 -1150 	 6614 	 10.815 	 -29.4 	 146.125 	
245 	 -991 	 6160 	 152.775 	 -5.145 	 127.89 	
491 	 -868 	 5858 	 275.45 	 27.755 	 110.81 	
368 	 -754 	 5309 	 387.24 	 59.045 	 87.815 	
-82 	 -509 	 4499 	 480.095 	 71.19 	 62.65 	
-424 	 -147 	 3810 	 550.725 	 61.565 	 43.96 	
-353 	 49 	 3272 	 606.165 	 37.345 	 31.255 	
68 	 203 	 2337 	 648.06 	 16.45 	 17.115 	
377 	 395 	 1270 	 669.2 	 15.155 	 -0.84 	
429 	 465 	 553 	 670.985 	 38.08 	 -17.36 	
387 	 387 	 0 	 664.79 	 78.855 	 -28.28 	
331 	 268 	 -711 	 652.925 	 124.635 	 -36.995 	
95 	 87 	 -1202 	 629.09 	 163.065 	 -45.255 	
-199 	 -122 	 -1257 	 596.12 	 180.67 	 -50.085 	
-394 	 -237 	 -1379 	 563.185 	 170.1 	 -50.995 	
-497 	 -231 	 -1557 	 527.205 	 136.78 	 -51.94 	
-582 	 -298 	 -1528 	 486.325 	 89.6 	 -53.76 	
-592 	 -308 	 -1542 	 446.32 	 41.405 	 -55.335 	
-536 	 -251 	 -1740 	 406.84 	 1.4 	 -56.84 	
-460 	 -274 	 -1864 	 363.93 	 -25.795 	 -59.185 	
-487 	 -343 	 -1940 	 321.23 	 -40.425 	 -63.245 	
-588 	 -323 	 -2033 	 279.335 	 -46.165 	 -67.865 	
-718 	 -265 	 -1919 	 237.405 	 -45.675 	 -71.54 	
-807 	 -239 	 -1678 	 200.165 	 -40.81 	 -73.605 	
-805 	 -207 	 -1607 	 169.26 	 -33.215 	 -75.075 	
-817 	 -210 	 -1605 	 140.0 	 -24.395 	 -77.42 	
-896 	 -285 	 -1488 	 112.14 	 -15.4 	 -79.8 	
-967 	 -339 	 -1333 	 88.935 	 -6.755 	 -80.5 	
-953 	 -363 	 -1225 	 70.35 	 1.82 	 -79.975 	
-911 	 -401 	 -1123 	 55.09 	 10.78 	 -80.185 	
-922 	 -425 	 -983 	 43.015 	 20.3 	 -80.92 	
-993 	 -411 	 -864 	 34.51 	 28.945 	 -80.71 	
-1039 	 -419 	 -769 	 28.105 	 34.58 	 -78.225 	
-1008 	 -483 	 -650 	 22.82 	 35.63 	 -74.62 	
-997 	 -529 	 -511 	 19.705 	 32.13 	 -72.625 	
-1084 	 -516 	 -429 	 18.76 	 24.36 	 -71.4 	
-1169 	 -473 	 -383 	 18.2 	 14.07 	 -68.075 	
-1153 	 -443 	 -310 	 18.025 	 3.185 	 -63.245 	
-1104 	 -432 	 -269 	 19.32 	 -5.985 	 -59.115 	
-1098 	 -414 	 -284 	 21.315 	 -12.04 	 -56.21 	
-1090 	 -395 	 -302 	 23.1 	 -14.175 	 -52.85 	
-1056 	 -394 	 -284 	 25.095 	 -12.46 	 -48.965 	
-1037 	 -384 	 -264 	 28.07 	 -7.21 	 -45.71 	
-1048 	 -355 	 -256 	 31.71 	 0.7 	 -42.875 	
-1048 	 -341 	 -264 	 35.42 	 10.01 	 -39.935 	
-1026 	 -348 	 -268 	 39.48 	 20.16 	 -36.925 	
-1010 	 -357 	 -257 	 43.785 	 30.555 	 -34.23 	
-1018 	 -363 	 -244 	 48.405 	 40.495 	 -31.71 	
-1020 	 -362 	 -243 	 53.06 	 49.105 	 -29.05 	
-1006 	 -357 	 -226 	 58.1 	 55.545 	 -26.11 	
-1014 	 -344 	 -194 	 63.28 	 60.34 	 -23.625 	
-1025 	 -336 	 -179 	 68.285 	 62.965 	 -21.455 	
-1033 	 -326 	 -169 	 73.01 	 63.805 	 -19.11 	
-1038 	 -338 	 -155 	 77.63 	 62.72 	 -16.8 	
-1041 	 -364 	 -157 	 81.9 	 59.57 	 -15.015 	
-1056 	 -372 	 -187 	 86.065 	 54.285 	 -13.475 	
-1086 	 -404 	 -252 	 90.685 	 47.11 	 -12.25 	
-1153 	 -509 	 -372 	 95.34 	 39.2 	 -11.305 	
-1231 	 -737 	 -560 	 100.17 	 30.695 	 -10.185 	
-1273 	 -1116 	 -876 	 105.91 	 22.54 	 -7.84 	
-1282 	 -1690 	 -1434 	 113.05 	 16.275 	 -4.9 	
-1251 	 -2484 	 -2224 	 119.77 	 15.4 	 -1.47 	
-1029 	 -3553 	 -2970 	 123.2 	 27.23 	 7.07 	
-212 	 -4578 	 -3618 	 124.915 	 58.45 	 23.66 	
961 	 -4922 	 -4268 	 122.325 	 113.12 	 39.41 	
1334 	 -4694 	 -4651 	 107.59 	 185.675 	 42.665 	
228 	 -4502 	 -4389 	 77.49 	 244.755 	 44.17 	
-1090 	 -4172 	 -3963 	 32.48 	 243.145 	 57.61 	
-1743 	 -3590 	 -3556 	 -27.475 	 167.16 	 76.09 	
-1976 	 -2964 	 -2983 	 -104.265 	 33.355 	 84.28 	
-1834 	 -2077 	 -3200 	 -186.025 	 -108.78 	 90.3 	
-1012 	 -1328 	 -3958 	 -280.42 	 -208.95 	 104.86 	
-231 	 -1057 	 -4310 	 -389.97 	 -239.715 	 116.06 	
-334 	 -762 	 -4017 	 -500.535 	 -221.795 	 117.635 	
-1105 	 -208 	 -3502 	 -608.335 	 -204.96 	 122.57 	
-1882 	 205 	 -2650 	 -715.82 	 -220.815 	 139.615 	
-2271 	 507 	 -1633 	 -815.325 	 -269.29 	 164.99 	
-2152 	 704 	 -1120 	 -901.705 	 -331.03 	 193.27 	
-1959 	 727 	 -814 	 -976.255 	 -374.22 	 223.02 	
-1776 	 475 	 -403 	 -1035.93 	 -378.0 	 257.845 	
-1283 	 71 	 379 	 -1073.03 	 -333.375 	 299.95 	
-162 	 -858 	 1665 	 -1080.21 	 -242.095 	 340.27 	
410 	 -1904 	 3088 	 -1052.91 	 -120.05 	 359.695 	
64 	 -2314 	 3901 	 -995.12 	 -5.95 	 360.5 	
-648 	 -2577 	 4645 	 -920.36 	 57.015 	 354.97 	
-1431 	 -2995 	 5678 	 -826.245 	 43.33 	 348.775 	
-1616 	 -3048 	 6486 	 -707.0 	 -42.385 	 346.045 	
-1024 	 -2535 	 6402 	 -571.97 	 -149.03 	 347.27 	
-413 	 -2272 	 6509 	 -432.145 	 -233.59 	 342.475 	
299 	 -2111 	 6684 	 -282.835 	 -279.615 	 328.685 	
1059 	 -1728 	 6193 	 -126.56 	 -272.195 	 303.59 	
1572 	 -1531 	 5765 	 17.955 	 -215.495 	 267.855 	
1755 	 -1311 	 5640 	 147.805 	 -134.19 	 223.055 	
1558 	 -1088 	 5323 	 267.47 	 -53.62 	 174.475 	
1289 	 -850 	 4539 	 370.37 	 6.16 	 127.47 	
1078 	 -580 	 3836 	 450.24 	 40.39 	 81.235 	
837 	 -358 	 3430 	 514.675 	 50.68 	 35.315 	
723 	 -100 	 2703 	 569.17 	 48.895 	 -7.14 	
850 	 135 	 1711 	 604.38 	 46.55 	 -45.815 	
970 	 205 	 987 	 617.715 	 51.275 	 -84.945 	
871 	 264 	 357 	 619.78 	 67.48 	 -124.565 	
638 	 296 	 -350 	 614.53 	 91.945 	 -159.04 	
489 	 292 	 -964 	 597.1 	 117.005 	 -186.2 	
388 	 241 	 -1202 	 569.59 	 134.295 	 -208.985 	
178 	 223 	 -1209 	 539.805 	 137.445 	 -228.655 	
-130 	 201 	 -1300 	 510.3 	 123.445 	 -243.95 	
-354 	 239 	 -1527 	 477.33 	 97.44 	 -251.685 	
-344 	 184 	 -1649 	 438.585 	 67.795 	 -254.485 	
-274 	 73 	 -1704 	 400.19 	 42.14 	 -256.655 	
-289 	 15 	 -2017 	 363.335 	 25.305 	 -258.44 	
-374 	 0 	 -2282 	 322.77 	 21.21 	 -257.705 	
-461 	 -28 	 -2172 	 281.26 	 28.805 	 -253.26 	
